Rank_x,Player,Team_x,PA,IP,Bat WAR,Pit WAR,Total War,Rank_y,Team_y,Position,Salary,Years,Total Value,Average Annual
54,Vladimir Guerrero Jr.,TOR,680.0,,3.9,,3.9,639.0,Blue Jays,1,"$28,500,000 ",,$0 ,28500000.0
55,Bo Bichette,TOR,628.0,,3.8,,3.8,135.0,Blue Jays,SS,"$17,583,333 ",3.0,"$33,600,000 ",11200000.0
56,Freddie Freeman,LAD,627.0,,3.8,,3.8,25.0,Dodgers,1,"$23,353,561 ",6.0,"$162,000,000 ",27000000.0
58,Ceddanne Rafaela,BOS,587.0,,3.8,,3.8,181.0,Red Sox,OF,"$1,250,000 ",8.0,"$50,000,000 ",6250000.0
59,Manny Machado,SDP,678.0,,3.8,,3.8,16.0,Padres,3,"$17,090,909 ",11.0,"$350,000,000 ",31818182.0
60,Nathan Eovaldi,TEX,,130.0,0.0,3.7,3.7,39.0,Rangers,RHP,"$21,534,832 ",3.0,"$75,000,000 ",25000000.0
61,Matt Chapman,SFG,535.0,,3.7,,3.7,33.0,Giants,3,"$25,166,667 ",6.0,"$151,000,000 ",25166667.0
62,Nick Pivetta,SDP,,181.2,0.0,3.7,3.7,114.0,Padres,RHP,"$2,500,000 ",4.0,"$55,000,000 ",13750000.0
63,William Contreras,MIL,659.0,,3.6,,3.6,574.0,Brewers,C,"$6,000,000 ",,$0 ,6000000.0
64,Michael Wacha,KCR,,172.2,0.0,3.6,3.6,89.0,Royals,RHP,"$18,000,000 ",3.0,"$51,000,000 ",17000000.0
65,Freddy Peralta,MIL,,176.2,0.0,3.6,3.6,595.0,Brewers,RHP,"$8,000,000 ",,$0 ,8000000.0
66,Bryan Woo,SEA,,186.2,0.0,3.6,3.6,742.0,Mariners,RHP,"$783,300 ",,$0 ,783300.0
67,Chris Sale,ATL,,125.2,0.0,3.6,3.6,77.0,Braves,LHP,"$22,000,000 ",2.0,"$38,000,000 ",18000000.0
68,Pete Alonso,NYM,709.0,,3.6,,3.6,24.0,Mets,1,"$30,000,000 ",2.0,"$54,000,000 ",27000000.0
69,Sal Frelick,MIL,594.0,,3.6,,3.6,,Brewers,OF,"$771,800 ",,$0 ,771800.0
70,Sonny Gray,STL,,180.2,0.0,3.6,3.6,34.0,Cardinals,RHP,"$25,000,000 ",3.0,"$75,000,000 ",25000000.0
71,Alex Bregman,BOS,495.0,,3.5,,3.5,5.0,Red Sox,3,"$25,930,874 ",3.0,"$120,000,000 ",40000000.0
73,Masyn Winn,STL,537.0,,3.5,,3.5,,Cardinals,SS,"$770,850 ",,$0 ,770850.0
74,Michael Busch,CHC,592.0,,3.5,,3.5,758.0,Cubs,1,"$780,500 ",,$0 ,780500.0
75,Bryce Harper,PHI,580.0,,3.5,,3.5,31.0,Phillies,1,"$27,538,462 ",13.0,"$330,000,000 ",25384615.38
77,Mookie Betts,LAD,663.0,,3.4,,3.4,18.0,Dodgers,SS,"$26,158,692 ",12.0,"$365,000,000 ",30416666.67
78,Dylan Cease,SDP,,168.0,0.0,3.4,3.4,621.0,Padres,RHP,"$13,750,000 ",,$0 ,13750000.0
79,Hunter Goodman,COL,579.0,,3.4,,3.4,396.0,Rockies,OF,"$765,000 ",,$0 ,765000.0
